neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Universidad,Centro,40.4227008,-3.7030984,0.6420341311031897,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,30,1,1,1,1,1,0,1,0,1,0,110.0
Universidad,Centro,40.4226778,-3.7030368,0.6398568163716917,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,4.0,365.0,f,38.0,t,t,49.0,29,29,0,0,22,1,1,1,1,1,0,0,0,1,0,99.67
Universidad,Centro,40.42379,-3.70386,0.7619792028134987,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,4.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,27,1,1,1,1,1,0,1,0,1,0,99.0
Universidad,Centro,40.422417,-3.704944,0.6193962892294663,Entire loft,Entire home/apt,2,1.0,1.0,1.0,2.0,330.0,f,1.0,t,t,106.0,1,1,0,0,43,1,1,1,1,1,0,1,0,0,0,127.5
Universidad,Centro,40.42686,-3.70244,1.1074912214288777,Private room in rental unit,Private room,2,,,,2.0,1125.0,t,5.0,t,t,95.0,5,0,5,0,52,0,1,0,1,1,1,1,0,1,0,79.0
Universidad,Centro,40.42522,-3.70109,0.94508458546327,Private room in rental unit,Private room,2,,,,2.0,1125.0,t,5.0,t,t,95.0,5,0,5,0,52,0,1,0,1,1,1,1,0,1,0,87.33
Universidad,Centro,40.42409,-3.70468,0.8001869175994257,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,15.0,365.0,f,14.0,t,t,41.0,14,14,0,0,33,1,1,0,1,1,1,1,0,0,0,122.41
Universidad,Centro,40.42215,-3.70398,0.5801716935813062,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,15.0,365.0,f,14.0,t,t,41.0,14,14,0,0,33,1,1,1,1,1,1,0,0,1,0,79.53
Universidad,Centro,40.4227008,-3.7030984,0.6420341311031897,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,2.0,1125.0,f,16.0,t,t,67.0,16,16,0,0,67,1,1,0,1,1,1,1,0,1,0,258.31
Universidad,Centro,40.42208377673919,-3.702435538679315,0.5805389248975468,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,1.0,1125.0,f,16.0,t,t,67.0,16,16,0,0,60,1,1,0,1,1,1,1,0,1,0,277.31
Universidad,Centro,40.42150595836897,-3.704098431289831,0.5093923259725864,Entire rental unit,Entire home/apt,2,1.0,1.0,3.0,6.0,730.0,f,16.0,t,t,67.0,16,16,0,0,65,1,1,0,1,1,1,1,0,1,0,176.0
Universidad,Centro,40.42268,-3.703068,0.6399059392040777,Entire rental unit,Entire home/apt,4,1.0,,2.0,3.0,730.0,f,16.0,t,t,67.0,16,16,0,0,67,1,1,0,1,1,1,1,0,1,0,161.67
Universidad,Centro,40.42296366690309,-3.704905742347529,0.6787234488680768,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,32.0,365.0,f,5.0,f,t,22.0,3,3,0,0,7,0,1,0,1,1,1,0,0,0,0,52.58
Universidad,Centro,40.42146,-3.70191,0.5227991485178382,Entire rental unit,Entire home/apt,8,,3.0,5.0,2.0,1125.0,t,4.0,t,t,37.0,4,4,0,0,52,0,1,1,1,1,0,1,0,1,0,445.44
Universidad,Centro,40.42458,-3.70084,0.8812973575711369,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1125.0,f,14.0,t,t,105.0,12,6,4,2,31,0,1,1,0,0,1,1,0,0,0,130.01
